model,parameters,cv_accuracy,train_accuracy,test_accuracy,error_rate,precision,recall,f1,depth,leaves,nodes,tn,fp,fn,tp
baseline,"{""criterion"": ""gini""}",0.859381898802179,1.0,0.8557968045882834,0.14420319541171656,0.5367647058823529,0.5732984293193717,0.5544303797468354,26,814,1627,1870,189,163,219
max_depth,"{""max_depth"": 5}",0.8986078059815499,0.9098730028676771,0.9020893076607948,0.09791069233920524,0.7060518731988472,0.6413612565445026,0.6721536351165981,5,32,63,1957,102,137,245
min_samples_leaf,"{""min_samples_leaf"": 50}",0.9014753468812167,0.9095657517410897,0.9000409668168783,0.09995903318312171,0.7197452229299363,0.5916230366492147,0.6494252873563219,14,90,179,1971,88,156,226
criterion,"{""criterion"": ""entropy""}",0.8653231577312752,1.0,0.8615321589512495,0.13846784104875054,0.553921568627451,0.5916230366492147,0.5721518987341773,30,763,1525,1877,182,156,226
